tag,freq_nhz,unit_code,unit_label,name,measure_group,vital_sign,review,conversion_factor,canonical_unit,notes
MDC_ECG_CARD_BEAT_RATE,976562500,MDC_DIM_BEAT_PER_MIN,bpm,Heart Rate (ECG),core_vital_sign,heart_rate,false,1.0,,ECG-derived instantaneous heart rate
MDC_PLETH_PULS_RATE,976562500,MDC_DIM_BEAT_PER_MIN,bpm,Heart Rate (SpO2 / Pleth),core_vital_sign,heart_rate,false,1.0,,Pulse rate from pleth waveform
MDC_PULS_RATE,976562500,MDC_DIM_BEAT_PER_MIN,bpm,Heart Rate (generic pulse rate),core_vital_sign,heart_rate,false,1.0,,Generic pulse-rate parameter
NOM_PRESS_BLD_NONINV_PULS_RATE,976562500,MDC_DIM_BEAT_PER_MIN,bpm,Heart Rate (NIBP-derived),core_vital_sign,heart_rate,false,1.0,,Pulse rate during NIBP cycle
MDC_PRESS_BLD_ART_ABP_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Arterial line (ABP),core_vital_sign,systolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_ART_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Arterial (generic),core_vital_sign,systolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — unspecified source,core_vital_sign,systolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_NONINV_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Non-invasive (NIBP),core_vital_sign,systolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_NONINV_SYS,976562500,MDC_DIM_KILO_PASCAL,kPa,"Systolic BP — Non-invasive (NIBP, kPa)",core_vital_sign,systolic_bp,false,7.50062,mmHg,kPa variant of the NIBP measure — convert before merging with mmHg series
MDC_PRESS_BLD_AORT_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Aortic,core_vital_sign,systolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_ART_UMB_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Umbilical arterial,core_vital_sign,systolic_bp,false,1.0,mmHg,
NOM_PRESS_BLD_ART_FEMORAL_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Femoral arterial,core_vital_sign,systolic_bp,false,1.0,mmHg,
NOM_PRESS_BLD_ART_BRACHIAL_SYS,976562500,MDC_DIM_MMHG,mmHg,Systolic BP — Brachial arterial,core_vital_sign,systolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_ART_ABP_DIA,976562500,MDC_DIM_MMHG,mmHg,Diastolic BP — Arterial line (ABP),core_vital_sign,diastolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_ART_DIA,976562500,MDC_DIM_MMHG,mmHg,Diastolic BP — Arterial (generic),core_vital_sign,diastolic_bp,false,1.0,mmHg,
MDC_PRESS_BLD_DIA,976562500,MDC_DIM_MMHG,mmHg,Diastolic BP — unspecified source,core_vital_sign,diastolic_bp,false,1.0,mmHg,
